;Grid_Code;population_total_units;al_10_under;al_10_19;al_20_29;al_30_39;al_40_49;al_50_59;al_60_69;al_70_79;al_80_over;alk_18_under;alk_18_29;alk_30_49;alk_50_64;alk_65_over;fam_single;fam_married;fam_widowed;fam_divorced;fam_civil_partner;fam_civil_partner_deceased;fam_civil_partner_dissolved;fam_unknown;geb_germany;geb_eu27;geb_other_europe;geb_other_world;geb_other;ght_male;ght_female;re_roman_catholic;re_protestant;re_other;sg_germany;sg_eu27;sg_other_europe;sg_other_world;sg_other;sh_germany;sh_bosnia;sh_greece;sh_italy;sh_kazakhstan;sh_croatia;sh_netherlands;sh_austria;sh_poland;sh_romania;sh_russia;sh_turkey;sh_ukraine;sh_other;sk_germany;sk_abroad;sz_one;sz_mult_german_foreign;sz_mult_foreign_only;sz_unknown
11049;100mN33314E42407;116;16;12;37;22;11;6;6;0;5;26;39;33;9;9;81;22;5;8;0;0;0;0;83;9;4;19;0;73;43;14;28;74;83;10;5;16;3;83;0;4;0;0;0;0;0;3;0;0;3;3;19;83;33;96;18;0;3
11050;100mN33314E42408;9;0;3;3;3;0;3;0;0;0;0;4;3;3;0;7;0;0;0;0;0;0;0;4;4;0;0;0;7;3;3;3;4;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;9;0;0;0
11051;100mN33314E42409;6;0;0;3;0;3;3;0;0;0;0;3;3;3;0;4;3;0;0;0;0;0;0;6;0;0;0;0;3;4;0;3;4;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0
11052;100mN33314E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11053;100mN33314E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11054;100mN33314E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11055;100mN33314E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11056;100mN33314E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11057;100mN33314E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11058;100mN33314E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11225;100mN33315E42401;54;3;3;5;12;5;6;11;8;3;4;6;17;15;12;21;18;10;5;0;0;0;0;47;3;0;4;0;31;23;6;19;29;51;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;3;51;3;50;4;0;0
11226;100mN33315E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11227;100mN33315E42403;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;3;3;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
11228;100mN33315E42404;45;3;0;12;9;6;4;0;7;3;4;12;15;4;10;23;16;3;4;0;0;0;0;29;4;0;11;0;25;20;9;16;20;36;3;0;7;0;36;0;0;0;0;0;0;0;0;0;0;0;0;8;36;9;41;4;0;0
11229;100mN33315E42405;128;13;7;40;17;13;18;6;6;8;19;41;30;21;17;79;31;6;12;0;0;0;0;106;5;4;13;0;68;60;14;38;76;106;3;9;11;0;106;0;0;0;0;0;0;0;0;0;0;9;0;12;106;22;118;9;0;0
11230;100mN33315E42406;171;23;8;49;32;22;14;11;12;0;28;52;54;20;17;103;45;3;19;0;0;0;0;112;15;14;26;4;92;79;17;53;101;125;14;13;18;0;125;0;0;3;0;0;0;0;5;3;0;7;0;25;125;46;153;16;0;0
11231;100mN33315E42407;58;0;3;14;5;8;16;9;3;0;3;15;13;22;6;37;3;0;18;0;0;0;0;42;0;3;0;11;51;7;6;22;30;54;0;3;0;0;54;0;0;0;0;0;0;0;0;0;0;3;0;0;54;4;57;0;0;0
11232;100mN33315E42408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11233;100mN33315E42409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11234;100mN33315E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11235;100mN33315E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11236;100mN33315E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11237;100mN33315E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11238;100mN33315E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11239;100mN33315E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11240;100mN33315E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11412;100mN33316E42399;149;8;12;16;17;30;25;20;15;6;14;22;47;35;31;67;40;12;29;0;0;0;0;122;8;9;8;3;67;82;14;44;91;135;0;7;6;0;135;0;0;0;0;0;0;0;0;0;0;6;0;6;135;14;136;13;0;0
11413;100mN33316E42400;90;3;5;18;16;13;7;9;14;5;6;20;29;9;26;41;22;11;16;0;0;0;0;69;6;6;8;0;45;45;7;35;48;80;3;4;4;0;80;0;0;0;0;0;0;0;0;3;0;3;0;6;80;10;85;5;0;0
11414;100mN33316E42401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11415;100mN33316E42402;71;4;16;7;4;15;13;4;5;3;19;8;19;14;11;29;36;4;3;0;0;0;0;66;0;4;0;0;36;35;4;43;24;64;0;6;0;0;64;0;0;0;0;0;0;0;0;0;0;6;0;0;64;7;70;0;0;0
11416;100mN33316E42403;71;9;7;12;9;7;13;5;6;3;15;13;16;15;12;31;30;6;4;0;0;0;0;53;0;8;8;0;33;38;8;27;36;58;0;10;3;0;58;3;0;0;0;0;0;0;0;0;0;7;0;3;58;13;61;10;0;0
